feature,shap_importance
BasePolicy,0.033635822446557946
Fault,0.032559122038246485
PolicyType,0.010824447417960858
AddressChange_Claim,0.005044000322661459
DayOfWeek,0.0016427717308549524
Days_Policy_Claim,0.00012065525054552851
PoliceReportFiled,9.475485441053274e-05
AgeOfPolicyHolder,0.0
PastNumberOfClaims,0.0
AgeOfVehicle,0.0
WitnessPresent,0.0
DriverRating,0.0
AgentType,0.0
NumberOfSuppliments,0.0
NumberOfCars,0.0
Year,0.0
Days_Policy_Accident,0.0
Month,0.0
Deductible,0.0
WeekOfMonth,0.0
PolicyNumber,0.0
VehiclePrice,0.0
VehicleCategory,0.0
Age,0.0
MaritalStatus,0.0
Sex,0.0
WeekOfMonthClaimed,0.0
MonthClaimed,0.0
DayOfWeekClaimed,0.0
AccidentArea,0.0
Make,0.0
RepNumber,0.0
