feature,mean_importance
VehicleCategory,-0.0008480117966038814
DayOfWeek,-0.000608465510079198
DayOfWeekClaimed,-0.0001293329722851233
Days_Policy_Claim,-0.00010484892762234188
RepNumber,-8.107264171655081e-05
WeekOfMonth,-6.941308890320852e-05
AgeOfVehicle,-6.631210477189842e-05
PoliceReportFiled,-1.0689904718530485e-06
WitnessPresent,0.0
DriverRating,0.0
AgentType,0.0
NumberOfSuppliments,0.0
MaritalStatus,0.0
Sex,0.0
WeekOfMonthClaimed,0.0
NumberOfCars,0.0
Year,3.271197793896508e-05
PastNumberOfClaims,4.131300693582252e-05
AccidentArea,5.796488664926991e-05
Age,0.00010508589043872196
MonthClaimed,0.00023028190003934745
Month,0.00023615585596142852
AgeOfPolicyHolder,0.0002891171360937028
VehiclePrice,0.00038597788083784556
Days_Policy_Accident,0.0003922869070096868
Make,0.0004420258825621415
Deductible,0.0009501261439486208
PolicyType,0.0012195390287503883
PolicyNumber,0.0028225346788868177
AddressChange_Claim,0.005213215002414212
BasePolicy,0.03868933864430625
Fault,0.10080066221452037
